"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0402_1005Metric",135.875000,-106.775000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",143.689411,-101.860589,45.000000,top
"C3","0.1uF","C_0402_1005Metric",143.039411,-101.210589,45.000000,top
"C4","0.1uF","C_0402_1005Metric",146.350000,-105.850000,45.000000,top
"C5","0.1uF","C_0402_1005Metric",145.200000,-104.900000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",146.700000,-106.900000,45.000000,top
"C7","0.1uF","C_0402_1005Metric",147.570000,-111.500000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",143.850000,-116.530000,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",135.330000,-111.500000,180.000000,top
"C10","1uF","C_0402_1005Metric",144.850000,-116.520000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",141.200000,-102.780000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",144.200000,-104.980000,90.000000,top
"C13","10uF","C_0603_1608Metric",136.500000,-85.765000,90.000000,top
"C14","10uF","C_0603_1608Metric",138.025000,-91.015000,180.000000,top
"C15","33pF","C_0402_1005Metric",138.500000,-118.500000,-90.000000,top
"C16","33pF","C_0402_1005Metric",143.750000,-118.520000,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",140.600000,-100.750000,90.000000,top
"C18","1uF","C_0402_1005Metric",143.040000,-87.000000,0.000000,top
"C19","1uF","C_0402_1005Metric",144.210000,-85.250000,0.000000,top
"D1","D_Schottky","D_0402_1005Metric",138.000000,-85.015000,90.000000,top
"D2","LED","LED_0603_1608Metric",144.000000,-90.712500,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",141.500000,-77.500000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",132.610000,-76.370000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",150.390000,-76.370000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",138.960000,-124.390000,90.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",144.290000,-94.250000,-90.000000,top
"Q1","AO3401A","SOT-23",140.937500,-85.500000,0.000000,top
"R1","5.1K","R_0402_1005Metric",147.350000,-76.840000,90.000000,top
"R2","5.1K","R_0402_1005Metric",135.625000,-76.865000,90.000000,top
"R3","27K","R_0402_1005Metric",142.200000,-105.050000,-90.000000,top
"R4","27K","R_0402_1005Metric",143.200000,-105.050000,90.000000,top
"R5","1K","R_0402_1005Metric",141.740000,-116.000000,180.000000,top
"R6","1K","R_0402_1005Metric",135.650000,-101.135000,-90.000000,top
"R7","10K","R_0402_1005Metric",135.650000,-99.225000,-90.000000,top
"R8","1.5K","R_0402_1005Metric",145.500000,-91.212500,90.000000,top
"R9","1K","R_0402_1005Metric",144.250000,-88.500000,0.000000,top
"R10","10K","R_0402_1005Metric",143.650000,-97.260000,90.000000,top
"R11","2K","R_0402_1005Metric",144.850000,-97.540000,-90.000000,top
"R12","7K","R_0402_1005Metric",145.900000,-97.530000,90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",138.000000,-99.250000,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",141.500000,-110.500000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",138.000000,-88.202500,90.000000,top
"U3","W25Q128JVS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",138.075000,-103.500000,0.000000,top
"U4","BQ21040DBV","SOT-23-6",141.500000,-90.000000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.150000,-118.350000,180.000000,top
