"Id","Designator","Footprint","Quantity","Comment","Supplier and ref",
1,"C1,C19,C18,C10","C_0402_1005Metric",4,"1uF",,,
2,"C17,C5,C3,C4,C8,C2,C11,C9,C12,C6,C7","C_0402_1005Metric",11,"0.1uF",,,
3,"U1","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",1,"RP2040",,,
4,"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm",1,"12MHz",,,
5,"SW1","SW_Push_SPST_NO_Alps_SKRK",1,"SW_Push",,,
6,"C16,C15","C_0402_1005Metric",2,"33pF",,,
7,"J4,J5","PinHeader_1x03_P2.54mm_Vertical",2,"Conn_01x03",,,
8,"R6,R9,R5","R_0402_1005Metric",3,"1K",,,
9,"R11","R_0402_1005Metric",1,"2K",,,
10,"R2,R1","R_0402_1005Metric",2,"5.1K",,,
11,"J3,J2","PinHeader_1x20_P2.54mm_Vertical",2,"Conn_01x20",,,
12,"U2","SOT-23",1,"MCP1700x-330xxTT",,,
13,"C14,C13","C_0603_1608Metric",2,"10uF",,,
14,"J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12",1,"USB_C_Receptacle_USB2.0_14P",,,
15,"U3","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",1,"W25Q128JVS",,,
16,"D2","LED_0603_1608Metric",1,"LED",,,
17,"U4","SOT-23-6",1,"BQ21040DBV",,,
18,"R8","R_0402_1005Metric",1,"1.5K",,,
19,"R12","R_0402_1005Metric",1,"7K",,,
20,"D1","D_0402_1005Metric",1,"D_Schottky",,,
21,"Q1","SOT-23",1,"AO3401A",,,
22,"R4,R3","R_0402_1005Metric",2,"27K",,,
23,"R10,R7","R_0402_1005Metric",2,"10K",,,
